Date,Link,Content
12/30/2024,https://api.seinet.com.mk/public/documents/single/70727,
12/30/2024,https://api.seinet.com.mk/public/documents/single/70726,
12/18/2024,https://api.seinet.com.mk/public/documents/single/70665,"ALKALOID AD Skopje honored with four awards: Most Transparent Listed Joint Stock Company selected by the media and by market participants, Stock of the Year, and Good ESG Practices"
12/13/2024,https://api.seinet.com.mk/public/documents/single/70652,
11/08/2024,https://api.seinet.com.mk/public/documents/single/70447,"ALKALOID AD Skopje informs that Zhivko Mukaetov, President of the Management Board and Chief Executive Officer of ALKALOID AD Skopje, acquired 331 ordinary shares issued by ALKALOID AD Skopje."
